['Error: 401 Client Error: Unauthorized for url: https://query1.finance.yahoo.com/v10/finance/quoteSummary/MSFT?modules=financialData']
         148084 function calls (143430 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.006    0.001 typing.py:2761(_make_nmtuple)
      102    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      106    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.002    0.002 encoder.py:1(<module>)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        8    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
        2    0.000    0.000    0.181    0.091 exceptions.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       92    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       22    0.000    0.000    0.001    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.022    0.022 socket.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        2    0.000    0.000    0.049    0.025 connection.py:1(<module>)
    80/78    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
    85/67    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.010    0.005 request.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
       12    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        2    0.000    0.000    0.014    0.007 cookies.py:1(<module>)
       17    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        2    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
       86    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       83    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        8    0.000    0.000    0.000    0.000 message.py:494(get)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        1    0.000    0.000    0.000    0.000 client.py:213(_read_headers)
       86    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
       43    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        3    0.000    0.000    0.052    0.017 response.py:1(<module>)
       11    0.000    0.000    0.000    0.000 queue.py:122(put)
       70    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
    21/11    0.000    0.000    0.348    0.032 {built-in method builtins.__import__}
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
       45    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       54    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        4    0.000    0.000    0.000    0.000 message.py:529(get_all)
        1    0.000    0.000    0.020    0.020 ssl.py:1(<module>)
    32/26    0.000    0.000    0.007    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.088    0.088 connection.py:718(connect)
        1    0.000    0.000    0.043    0.043 cookiejar.py:1(<module>)
       23    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
       34    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
       26    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       25    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       23    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       67    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       17    0.000    0.000    0.000    0.000 _collections.py:300(add)
        2    0.000    0.000    0.006    0.003 models.py:1(<module>)
        1    0.000    0.000    0.076    0.076 connectionpool.py:1(<module>)
       39    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       20    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        1    0.000    0.000    0.116    0.116 url.py:1(<module>)
        1    0.000    0.000    0.070    0.070 client.py:1(<module>)
       10    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        6    0.000    0.000    0.001    0.000 enum.py:513(__prepare__)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       21    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        5    0.000    0.000    0.000    0.000 client.py:1292(putheader)
       19    0.000    0.000    0.000    0.000 typing.py:2476(overload)
       28    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        2    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
       37    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.009    0.009 parse.py:1(<module>)
       26    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        2    0.000    0.000    0.010    0.005 abc.py:1(<module>)
       20    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        1    0.000    0.000    0.006    0.006 _common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        9    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.123    0.123 ssl_.py:1(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:418(request)
       23    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
       14    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       25    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 parse.py:164(hostname)
        6    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       10    0.000    0.000    0.001    0.000 _functools.py:75(wrapper)
       12    0.000    0.000    0.000    0.000 url.py:330(_idna_encode)
        4    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
       26    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        8    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
